run_id,topology,select_prob,env_scalar,use_ecm,rep,seed,generations_run,final_mean_fitness,late_mean_fitness,late_frac_high,final_peaks_colonized
ring_lattice_sp1.0_env0.0_ecm1_06,ring_lattice,1.0,0.0,1,6,595598537,300,0.90325,0.86558,0.0202,0
ring_lattice_sp0.5_env0.0_ecm0_06,ring_lattice,0.5,0.0,0,6,4009088492,300,0.5269,0.51353,0.0,0
ring_lattice_sp0.0_env0.0_ecm0_06,ring_lattice,0.0,0.0,0,6,1003777597,300,0.0965,0.09802,0.0,0
ring_lattice_sp0.5_env0.0_ecm1_06,ring_lattice,0.5,0.0,1,6,3425445567,300,0.58723,0.55693,0.0,0
ring_lattice_sp1.0_env0.5_ecm0_06,ring_lattice,1.0,0.5,0,6,1787568139,300,0.62217,0.62428,0.0,0
ring_lattice_sp1.0_env0.5_ecm1_06,ring_lattice,1.0,0.5,1,6,2215424052,300,0.62093,0.61132,0.0,0
ring_lattice_sp1.0_env1.0_ecm0_06,ring_lattice,1.0,1.0,0,6,3362408833,300,0.49237,0.46999,0.0,0
ring_lattice_sp1.0_env1.0_ecm1_06,ring_lattice,1.0,1.0,1,6,1934644225,300,0.51406,0.50054,0.0,0
complete_sp1.0_env0.5_ecm1_06,complete,1.0,0.5,1,6,1002062356,300,0.89308,0.89164,0.4657,0
ring_lattice_sp0.0_env0.0_ecm1_06,ring_lattice,0.0,0.0,1,6,2186311774,300,0.1071,0.10016,0.0,0
complete_sp1.0_env0.0_ecm0_07,complete,1.0,0.0,0,7,3138003945,87,1.0,0.70385,0.2247,1
complete_sp0.5_env0.0_ecm1_06,complete,0.5,0.0,1,6,3873964223,300,0.9223,0.92981,0.7261,1
complete_sp0.5_env0.0_ecm0_07,complete,0.5,0.0,0,7,3417455710,300,0.9212,0.92282,0.7112,1
complete_sp0.0_env0.0_ecm0_07,complete,0.0,0.0,0,7,3179051152,300,0.09702,0.09963,0.0,0
complete_sp1.0_env1.0_ecm1_06,complete,1.0,1.0,1,6,618488842,300,0.92455,0.88103,0.4438,1
complete_sp1.0_env0.5_ecm0_07,complete,1.0,0.5,0,7,3504631777,300,0.87542,0.86634,0.4147,0
complete_sp1.0_env0.0_ecm1_07,complete,1.0,0.0,1,7,3068368160,300,0.975,0.975,1.0,0
small_world_sp1.0_env0.0_ecm1_07,small_world,1.0,0.0,1,7,3842132286,300,0.91667,0.90015,0.7212,0
complete_sp1.0_env1.0_ecm0_07,complete,1.0,1.0,0,7,2092025265,300,0.87124,0.85969,0.2346,0
small_world_sp1.0_env0.0_ecm0_07,small_world,1.0,0.0,0,7,2417890146,300,0.90833,0.86272,0.2347,0
small_world_sp0.5_env0.0_ecm0_07,small_world,0.5,0.0,0,7,3149309782,300,0.58787,0.58453,0.0,0
complete_sp0.0_env0.0_ecm1_05,complete,0.0,0.0,1,5,387413615,300,0.12496,0.10973,0.0,0
