run_id,mutation_scalar,use_ecm,valley_reaper,valley_capacity,seed,generations_run,final_peaks_colonized,time_to_blanket,per_peak_convergence,colonization_source,occupancy_distribution
s0.25_ecm1_top_fitness_vc200_17,0.25,1,top_fitness,200,3466462438,500,1,,"{""1"": 491}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm0_random_vc200_17,0.25,0,random,200,856649037,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""1"": 10, ""3"": 10}"
s0.5_ecm0_top_fitness_vc200_17,0.5,0,top_fitness,200,2717561410,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""1"": 10, ""3"": 10}"
s0.25_ecm1_random_vc200_17,0.25,1,random,200,1896525194,500,1,,"{""2"": 341}","{""2"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_top_fitness_vc200_17,0.5,1,top_fitness,200,267383779,500,2,,"{""2"": 175, ""3"": 481}","{""2"": ""valley"", ""3"": ""in_situ""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm0_random_vc200_17,0.5,0,random,200,4064223325,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
s1.0_ecm0_top_fitness_vc200_17,1.0,0,top_fitness,200,1498817160,500,1,,"{""3"": 485}","{""3"": ""in_situ""}","{""2"": 10, ""3"": 10, ""1"": 10, ""4"": 10, ""0"": 10}"
s1.0_ecm0_random_vc200_17,1.0,0,random,200,1169000147,500,0,,{},{},"{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s1.5_ecm1_top_fitness_vc200_16,1.5,1,top_fitness,200,3176508750,500,1,,"{""1"": 206}","{""1"": ""valley""}","{""2"": 10, ""4"": 10, ""0"": 10, ""3"": 10, ""1"": 10}"
s0.5_ecm1_random_vc200_17,0.5,1,random,200,1441349737,500,0,,{},{},"{""2"": 10, ""0"": 10, ""4"": 10, ""3"": 10, ""1"": 10}"
